Condition,Stat,Test,Data
Moderarely Degraded,Lower,ATemp,14.913483146067415
Moderarely Degraded,Mean,ATemp,15.824002191011235
Moderarely Degraded,Upper,ATemp,16.716853932584268
Severely Degraded,Lower,ATemp,16.43617021276596
Severely Degraded,Mean,ATemp,17.09018404255319
Severely Degraded,Upper,ATemp,17.73404255319149
Good Condition,Lower,Temp,12.030744193687305
Good Condition,Mean,Temp,12.48768461627907
Good Condition,Upper,Temp,12.944162786877278
Moderarely Degraded,Lower,Temp,11.184719101123596
Moderarely Degraded,Mean,Temp,11.670329876404494
Moderarely Degraded,Upper,Temp,12.148730331541223
Severely Degraded,Lower,Temp,11.815329788981671
Severely Degraded,Mean,Temp,12.130511505319149
Severely Degraded,Upper,Temp,12.43626595569918
Good Condition,Lower,Turbidity,1.8067928583162647
Good Condition,Mean,Turbidity,2.0773936719890322
Good Condition,Upper,Turbidity,2.358846426811317
Moderarely Degraded,Lower,Turbidity,3.2112820512820512
Moderarely Degraded,Mean,Turbidity,3.822077408484126
Moderarely Degraded,Upper,Turbidity,4.459986839943722
Severely Degraded,Lower,Turbidity,7.527087921114124
Severely Degraded,Mean,Turbidity,9.691903480485916
Severely Degraded,Upper,Turbidity,12.064173134933556
